,Unnamed: 0,title,title_link,content
20,20,Technology - Servant or MasterSeries looking at how technology is changing our world,https://www.bbc.co.uk/programmes/p0338l74,"
Series looking at how technology is changing our world 
Picture: Robot and woman, Credit: Getty Images
"
21,21,Thinking Outside the Boxset: How Technology Changed the StoryMark Lawson on the ways modern technology shapes the way we tell and consume stories.,https://www.bbc.co.uk/programmes/b09kc614,"
Mark Lawson examines the different ways storytelling - in TV, theatre and literature - has been changed by modern technology.
"
22,22,All You Need Is Lab - How Science And Technology Inspired Innovation In  MusicMidge Ure explains how technical innovation has always stimulated musical creativity.,https://www.bbc.co.uk/programmes/b03v9np1,"
4 Extra Debut. Midge Ure explores how technical innovation has stimulated musical creativity, from steel guitar to the sequencer. From 2014.

Show more

"
23,23,PGA Tour: Tiger Woods-designed golf course to host 2023 World Wide Technology ChampionshipA Mexican golf course designed by Tiger Woods will host the 2023 World Wide Technology Championship.,https://www.bbc.co.uk/sport/golf/65106521,"A Mexican golf course designed by Tiger Woods will host the 2023 World Wide Technology Championship.The 15-time major champion designed El Cardonal, located at Diamante Cabo San Lucas, based on the courses he grew up playing in southern California.The par-72, 7,300-yard course - which overlooks the Pacific Ocean - opened in 2014.The World Wide Technology Championship was previously held at Mayakoba, on Mexico's Riviera Maya.In 2007 it became the first PGA Tour event to be contested outside the United States or Canada, but the agreement with Mayakoba ended in 2022.The 2023 edition of the tournament will take place in the autumn."
24,24,Farming Today: 29/03/23 Plans to license pheasant releases in Wales; more shellfish testing; micro algae technology.Plans to license release of game birds; more shellfish tests; micro-algae technology.,https://www.bbc.co.uk/programmes/m001kh9c,"
Releasing game birds in Wales could become subject to licensing laws. More sampling being done, after mass deaths of prawns. Micro algae technology to process waste.

Show more

"
25,25,Music TechnologyPractical how-to advice for making music with easy-to-access technology.,https://www.bbc.co.uk/programmes/b01rlm5t,"
Music Technology presents practical how-to advice for making music with easy-to-access technology, combined with an exploration of musical and sonic principles and concepts.

Show more

"
26,26,BBC College of TechnologyAn authoritative resource for the broadcast technology and software engineering industries,https://www.bbc.co.uk/programmes/p00zxjxl,"Sorry, we couldn’t find that pageCheck the page address or search for it below."
27,27,TechnologyNews: Technology video & audio,https://www.bbc.co.uk/programmes/p00fqcbg,Twitter chief Elon Musk is among those who want training of AIs above a certain capacity to be halted for at least six months.Apple co-founder Steve Wozniak and some researchers at DeepMind also signed.
28,28,"TechnologyEducational show for 11- to 16-year-olds focusing on design, engineering and technology",https://www.bbc.co.uk/programmes/b007lyjx,"
Educational programme for 11- to 16-year-olds focusing on design, engineering and technology
"
29,29,Technology has become the double-edged sword of Asia's protestsThe same tools that are empowering dissent are also hobbling protests.,https://www.bbc.co.uk/news/world-asia-64300442,It began with a simple call - come and mourn the dead. 
30,30,Technology - Servant or MasterSeries looking at how technology is changing our world,https://www.bbc.co.uk/programmes/p0338l74,"
Series looking at how technology is changing our world 
Picture: Robot and woman, Credit: Getty Images
"
31,31,Thinking Outside the Boxset: How Technology Changed the StoryMark Lawson on the ways modern technology shapes the way we tell and consume stories.,https://www.bbc.co.uk/programmes/b09kc614,"
Mark Lawson examines the different ways storytelling - in TV, theatre and literature - has been changed by modern technology.
"
32,32,All You Need Is Lab - How Science And Technology Inspired Innovation In  MusicMidge Ure explains how technical innovation has always stimulated musical creativity.,https://www.bbc.co.uk/programmes/b03v9np1,"
4 Extra Debut. Midge Ure explores how technical innovation has stimulated musical creativity, from steel guitar to the sequencer. From 2014.

Show more

"
33,33,PGA Tour: Tiger Woods-designed golf course to host 2023 World Wide Technology ChampionshipA Mexican golf course designed by Tiger Woods will host the 2023 World Wide Technology Championship.,https://www.bbc.co.uk/sport/golf/65106521,"A Mexican golf course designed by Tiger Woods will host the 2023 World Wide Technology Championship.The 15-time major champion designed El Cardonal, located at Diamante Cabo San Lucas, based on the courses he grew up playing in southern California.The par-72, 7,300-yard course - which overlooks the Pacific Ocean - opened in 2014.The World Wide Technology Championship was previously held at Mayakoba, on Mexico's Riviera Maya.In 2007 it became the first PGA Tour event to be contested outside the United States or Canada, but the agreement with Mayakoba ended in 2022.The 2023 edition of the tournament will take place in the autumn."
34,34,Farming Today: 29/03/23 Plans to license pheasant releases in Wales; more shellfish testing; micro algae technology.Plans to license release of game birds; more shellfish tests; micro-algae technology.,https://www.bbc.co.uk/programmes/m001kh9c,"
Releasing game birds in Wales could become subject to licensing laws. More sampling being done, after mass deaths of prawns. Micro algae technology to process waste.

Show more

"
35,35,Music TechnologyPractical how-to advice for making music with easy-to-access technology.,https://www.bbc.co.uk/programmes/b01rlm5t,"
Music Technology presents practical how-to advice for making music with easy-to-access technology, combined with an exploration of musical and sonic principles and concepts.

Show more

"
36,36,BBC College of TechnologyAn authoritative resource for the broadcast technology and software engineering industries,https://www.bbc.co.uk/programmes/p00zxjxl,"Sorry, we couldn’t find that pageCheck the page address or search for it below."
37,37,TechnologyNews: Technology video & audio,https://www.bbc.co.uk/programmes/p00fqcbg,Twitter chief Elon Musk is among those who want training of AIs above a certain capacity to be halted for at least six months.Apple co-founder Steve Wozniak and some researchers at DeepMind also signed.
38,38,"TechnologyEducational show for 11- to 16-year-olds focusing on design, engineering and technology",https://www.bbc.co.uk/programmes/b007lyjx,"
Educational programme for 11- to 16-year-olds focusing on design, engineering and technology
"
39,39,Technology has become the double-edged sword of Asia's protestsThe same tools that are empowering dissent are also hobbling protests.,https://www.bbc.co.uk/news/world-asia-64300442,It began with a simple call - come and mourn the dead. 
