,Unnamed: 0,title,publication_year,title_link,authors,author_href,content
10,10,Unidirectional Migration of Populations with Allee Effect,['10 Jan 2023'],https://pureportal.coventry.ac.uk/en/publications/unidirectional-migration-of-populations-with-allee-effect,"['Sadeghimanesh, A.']",['https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh-sadeghi-manesh'],"In this note we consider two populations living on identical patches, connected by unidirectional migration, and subject to strong Allee effect. We show that by increasing the migration rate, there are more bifurcation sequences than previous works showed. In particular, the number of steady states can change from 9 (small migration) to 3 (large migration) at a single bifurcation point, or via a sequence of bifurcations with the system having 9, 7, 5, 3 steady states or 9, 7, 9, 3 steady states, depending on the Allee threshold. This is in contrast with the case of bidirectional migration, where the number of steady states always goes through the same bifurcation sequence of 9, 5, 3 steady states as we increase the migration rate, regardless of the value of the Allee threshold. These results have practical implications as well in spatial ecology."
11,11,XDLL: Explained Deep Learning LiDAR-Based Localization and Mapping Method for Self-Driving Vehicles,['22 Jan 2023'],https://pureportal.coventry.ac.uk/en/publications/xdll-explained-deep-learning-lidar-based-localization-and-mapping,"['Palade, V.']",['https://pureportal.coventry.ac.uk/en/persons/vasile-palade'],"Self-driving vehicles need a robust positioning system to continue the revolution in intelligent transportation. Global navigation satellite systems (GNSS) are most commonly used to accomplish this task because of their ability to accurately locate the vehicle in the environment. However, recent publications have revealed serious cases where GNSS fails miserably to determine the position of the vehicle, for example, under a bridge, in a tunnel, or in dense forests. In this work, we propose a framework architecture of explaining deep learning LiDAR-based (XDLL) models that predicts the position of the vehicles by using only a few LiDAR points in the environment, which ensures the required fastness and accuracy of interactions between vehicle components. The proposed framework extracts non-semantic features from LiDAR scans using a clustering algorithm. The identified clusters serve as input to our deep learning model, which relies on LSTM and GRU layers to store the trajectory points and convolutional layers to smooth the data. The model has been extensively tested with short- and long-term trajectories from two benchmark datasets, Kitti and NCLT, containing different environmental scenarios. Moreover, we investigated the obtained results by explaining the contribution of each cluster feature by using several explainable methods, including Saliency, SmoothGrad, and VarGrad. The analysis showed that taking the mean of all the clusters as an input for the model is enough to obtain better accuracy compared to the first model, and it reduces the time consumption as well. The improved model is able to obtain a mean absolute positioning error of below one meter for all sequences in the short- and long-term trajectories."
12,12,A community energy management system for smart microgrids,['Aug 2022'],https://pureportal.coventry.ac.uk/en/publications/a-community-energy-management-system-for-smart-microgrids,"['Nixon, J. D.', 'Gaura, E.', 'Halford, A.']","['https://pureportal.coventry.ac.uk/en/persons/jonathan-nixon', 'https://pureportal.coventry.ac.uk/en/persons/elena-gaura', 'https://pureportal.coventry.ac.uk/en/persons/alison-halford']","Community micro-grid energy projects are needed to drive de-carbonisation and increase equity of energy systems among displaced communities. However, micro-grid solutions are often inflexible and lack functionality to respond to displaced community energy needs and ensure the long-term sustainability of interventions. This paper explores the use of fog-computing retrofit architectures deployed on community micro-grid infrastructures to enable flexible demand management to improve service delivery and longevity. A micro-services solution is proposed that decouples components increasing resilience and testability while allowing hybrid edge-cloud deployments. The architecture is outlined and demonstrated for a micro-grid providing energy to two nurseries and a playground in Kigeme refugee camp, Rwanda. To enact the community priorities within the demand management system, modified Genetic Algorithm (GA) methods are outlined and tested for different use-case scenarios. The performance of the modified GA methods are then compared with a pre-existing battery protect controller and an alternative deterministic (space-shared) energy manager model. A modified search space GA method was required for GA to outperform both the existing battery controller and proposed deterministic method in terms of achieving the highest utility function in almost every use-case. The results further showed how simple community priorities can be set and used to enact control on the system in 24h timeframes that are in line with the local decision-making context."
13,13,A Hybrid Linear Iterative Clustering and Bayes Classification-Based GrabCut Segmentation Scheme for Dynamic Detection of Cervical Cancer,['18 Oct 2022'],https://pureportal.coventry.ac.uk/en/publications/a-hybrid-linear-iterative-clustering-and-bayes-classification-bas,"['Palade, V.']",['https://pureportal.coventry.ac.uk/en/persons/vasile-palade'],"Cervical cancer earlier detection remains indispensable for enhancing the survival rate probability among women patients worldwide. The early detection of cervical cancer is done relatively by using the Pap Smear cell Test. This method of detection is challenged by the degradation phenomenon within the image segmentation task that arises when the superpixel count is minimized. This paper introduces a Hybrid Linear Iterative Clustering and Bayes classification-based GrabCut Segmentation Technique (HLC-BC-GCST) for the dynamic detection of Cervical cancer. In this proposed HLC-BC-GCST approach, the Linear Iterative Clustering process is employed to cluster the potential features of the preprocessed image, which is then combined with GrabCut to prevent the issues that arise when the number of superpixels is minimized. In addition, the proposed HLC-BC-GCST scheme benefits of the advantages of the Gaussian mixture model (GMM) on the extracted features from the iterative clustering method, based on which the mapping is performed to describe the energy function. Then, Bayes classification is used for reconstructing the graph cut model from the extracted energy function derived from the GMM model-based Linear Iterative Clustering features for better computation and implementation. Finally, the boundary optimization method is utilized to considerably minimize the roughness of cervical cells, which contains the cytoplasm and nuclei regions, using the GrabCut algorithm to facilitate improved segmentation accuracy. The results of the proposed HLC-BC-GCST scheme are 6% better than the results obtained by other standard detection approaches of cervical cancer using graph cuts."
14,14,Allocating Medical Resources (vaccine) to Control a Pandemic,['26 Apr 2022'],https://pureportal.coventry.ac.uk/en/publications/allocating-medical-resources-vaccine-to-control-a-pandemic,"['Ajao-Olarinoye, M.']",['https://pureportal.coventry.ac.uk/en/persons/michael-ajao-olarinoye'],"In the aftermath of the COVID-19 pandemic, we need to better understand how to prepare for other pandemics in the future. This research uses computational techniques to better understand how medical resources can be allocated to controlling pandemics. Mathematical modelling techniques are used to study the transmission dynamics of infectious diseases, and to estimate the cost of implementing control measures. A mathematical model is used to solve problem statements drawn from assumptions. Optimizing the allocation of resources can be achieved by using algorithms to optimise the cost of distributing resources in order to control a pandemic. The goal of this research would be to find the most cost-effective algorithm, utilizing all operational research methodologies. In general, the product is software that implements the best algorithm designed to deal with the problem of resource allocation for pandemics."
15,15,An Agent-Based Optimisation Approach for Vehicle Routing Problem with Unique Vehicle Location and Depot,['15 Apr 2022'],https://pureportal.coventry.ac.uk/en/publications/an-agent-based-optimisation-approach-for-vehicle-routing-problem-,"['Al Bazi, A.', 'Palade, V.']","['https://pureportal.coventry.ac.uk/en/persons/ammar-al-bazi', 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade']","The Vehicle Routing Problem (VRP) is a well studied logistical problem along with its various variants such as VRP with customer Time-Window (VRPTW). However, all the previously studied variants assume that vehicles are mostly the same in terms of their capacity, location and home location (depot). This study uses the agent-based approach for solving VRPTW with vehicle's unique location and depot. This is to minimise the number of used vehicles as the main target. Other targets including total distance travelled, waiting time and time are also considered as criteria to evaluate the quality of the generated vehicle routes. This is achieved by proposing a Messaging Protocol-based Heuristics Optimisation (MPHO) model that balances between centrally-distributed agents' interactions and accommodates certain priority rules specifically developed for the problem. Furthermore, modifications to certain constraints checking techniques are introduced by implementing time Push Forward (PF) checking recursively tailored to the route's unique start/ending locations as well as calculating the reduced waiting time to find and check the limit of the total route duration. In order to justify the superiority of the proposed MPHO model, numerical tests have been conducted on benchmark problems including single and multiple depot instances as well as modified instances tailored to the problem. This is made possible by randomising vehicles' capacities and their unique locations and depots. Key results reveal that, in multiple depot instances, higher quality solutions compared with previous benchmark outcomes are obtained in terms of minimising the total number of vehicles along with fastest solution time (CPU) at the expense of total time and distance travelled."
16,16,An Effective Swarm Intelligence Optimization Algorithm for Flexible Ligand Docking,['1 Sep 2022'],https://pureportal.coventry.ac.uk/en/publications/an-effective-swarm-intelligence-optimization-algorithm-for-flexib,"['Palade, V.']",['https://pureportal.coventry.ac.uk/en/persons/vasile-palade'],"In general, flexible ligand docking is used for docking simulations under the premise that the position of the binding site is already known, and meanwhile, it can also be used without prior knowledge of the binding site. However, most of the optimization search algorithms used in popular docking software are far from being ideal in the first case, and they can hardly be directly utilized for the latter case due to the relatively large search area. In order to design an algorithm that can flexibly adapt to different sizes of the search area, we propose an effective swarm intelligence optimization algorithm in this paper, called diversity-controlled Lamarckian quantum particle swarm optimization (DCL-QPSO). The highlights of the algorithm are a diversity-controlled strategy and a modified local search method. Integrated with the docking environment of Autodock, the DCL-QPSO is compared with Autodock Vina, Glide and other two Autodock-based search algorithms for flexible ligand docking. Experimental results revealed that the proposed algorithm has a performance comparable to those of Autodock Vina and Glide for dockings within a certain area around the binding sites, and is a more effective solver than all the compared methods for dockings without prior knowledge of the binding sites."
17,17,An improved Gaussian distribution based quantum-behaved particle swarm optimization algorithm for engineering shape design problems,['4 May 2022'],https://pureportal.coventry.ac.uk/en/publications/an-improved-gaussian-distribution-based-quantum-behaved-particle-,"['Palade, V.']",['https://pureportal.coventry.ac.uk/en/persons/vasile-palade'],"In this article, an improved Gaussian distribution based quantum-behaved particle swarm optimization (IG-QPSO) algorithm is proposed to solve engineering shape design problems with multiple constraints. In this algorithm, the Gaussian distribution is employed to generate the sequence of random numbers in the QPSO algorithm. By decreasing the variance of the Gaussian distribution linearly, the algorithm is able not only to maintain its global search ability during the early search stages, but can also obtain gradually enhanced local search ability in the later search stages. Additionally, a weighted mean best position in the IG-QPSO is employed to achieve a good balance between local search and global search. The proposed algorithm and some other well-known PSO variants are tested on ten standard benchmark functions and six well-studied engineering shape design problems. Experimental results show that the IG-QPSO algorithm can optimize these problems effectively in terms of precision and robustness compared to its competitors."
18,18,An integrated framework for diagnosing process faults with incomplete features,['Jan 2022'],https://pureportal.coventry.ac.uk/en/publications/an-integrated-framework-for-diagnosing-process-faults-with-incomp,"['Palade, V.']",['https://pureportal.coventry.ac.uk/en/persons/vasile-palade'],"Handling missing values and large-dimensional features are crucial requirements for data-driven fault diagnosis systems. However, most intelligent data-driven diagnostic systems are not able to handle missing data. The presence of high-dimensional feature sets can also further complicate the process of fault diagnosis. This paper aims to devise a missing data imputation unit along with a dimensionality reduction unit in the pre-processing module of the diagnostic system. This paper proposes a novel pooling strategy for missing data imputation (PSMI). This strategy can simplify complex patterns of missingness and incrementally update the pool. The pre-processing module receives incomplete observations, PSMI estimates missing values, and, then, the dimensionality reduction unit transforms completed observations onto a lower-dimensional feature space. These transformed observations are then fed as inputs to the fault classification module for decision making and diagnosis. This diagnostic scheme makes use of various state-of-the-art missing data imputation, dimensionality reduction and classification algorithms. This enables a comprehensive comparison and allows to find the best techniques for the sake of diagnosing faults in the Tennessee Eastman process. The obtained results show the effectiveness of the proposed pooling strategy and indicate that principal component analysis imputation and heteroscedastic discriminant analysis approaches outperform other imputation and dimensionality reduction techniques in this diagnostic application."
19,19,An SMT solver for non-linear real arithmetic inside maple,['23 Nov 2022'],https://pureportal.coventry.ac.uk/en/publications/an-smt-solver-for-non-linear-real-arithmetic-inside-maple-2,"['Sadeghimanesh, A.', 'England, M.']","['https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh-sadeghi-manesh', 'https://pureportal.coventry.ac.uk/en/persons/matthew-england']",We report on work-in-progress to create an SMT-solver inside Maple for non-linear real arithmetic (NRA). We give background information on the algorithm being implemented: cylindrical algebraic coverings as a theory solver in the lazy SMT paradigm. We then present some new work on the identification of minimal conflicting cores from the coverings.
20,20,An SMT solver for non-linear real arithmetic inside Maple,['6 Jul 2022'],https://pureportal.coventry.ac.uk/en/publications/an-smt-solver-for-non-linear-real-arithmetic-inside-maple,"['Sadeghimanesh, A.', 'England, M.']","['https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh-sadeghi-manesh', 'https://pureportal.coventry.ac.uk/en/persons/matthew-england']",We report on work-in-progress to create an SMT-solver inside Maple for non-linear real arithmetic (NRA). We give background information on the algorithm being implemented: cylindrical algebraic coverings as a theory solver in the lazy SMT paradigm. We then present some new work on the identification of minimal conflicting cores from the coverings.
21,21,Application of Amazon Web Services within teaching & learning at Coventry University Group,['6 Jan 2022'],https://pureportal.coventry.ac.uk/en/publications/application-of-amazon-web-services-within-teaching-amp-learning-a,[],[],"Since September 2020, CU Group offers a Cloud Computing BSc(Hons) degree program developed with support from Amazon Web Services (AWS), leveraging their platform for teaching and learning and building upon their Cloud Competency Framework (CCF). This paper seeks to share how industry cloud technology stacks can be employed within authentic student learning. This has ensured a scenario led assessment for learning approach as an alternative to a simulated learning environment. CU Group is also an AWS Academy and Educate member, facilitating certification and platform access. This incorporates the experience of an industry leader in direct collaboration with HE to embed cloud skills within existing programs or develop specific curricula to target-fill skill gaps within the cloud landscape. Current students will graduate in August 2022, the first degree level graduates globally for HEIs working within the CCF."
22,22,Artificial Intelligence in Cars: How Close Yet Far Are We from Fully Autonomous Vehicles?,['3 May 2022'],https://pureportal.coventry.ac.uk/en/publications/artificial-intelligence-in-cars-how-close-yet-far-are-we-from-ful,"['Palade, V.', 'Deo, A.']","['https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'https://pureportal.coventry.ac.uk/en/persons/ankur-deo']","In the last several years, strides in Artificial Intelligence (AI) have allowed for substantial developments in autonomous driving. As a result, moving to Level-4 and Level-5 autonomy in the near future is starting to look like a certain possibility. Use of AI in vehicles and, in particular, cutting-edge computer vision, signal processing and control techniques have contributed significantly to the high-tech nature of state-of-the-art Advanced Driver Assistance Systems (ADAS) available in cars today. In modern automobiles, AI not only contributes substantially to systems such as ADAS, but also in the areas of vehicles’ connectivity, automotive cybersecurity, and smart road infrastructure development. The next generation driverless vehicles will be completely reliant on these technologies to transport passengers and goods from one place to other, whilst eliminating human intervention entirely. However, despite the many advancements in AI for connected and autonomous vehicles done so far, there are several issues that are responsible of holding back the wide-scale deployment of AI based autonomous vehicles on roads, which are discussed in this editorial paper. Until and unless these critical issues are addressed, it would be difficult to indicate an accurate future moment in time when autonomous vehicles will become a reality globally."
23,23,Assessing Risks in Dairy Supply Chain Systems: A System Dynamics Approach,['4 Aug 2022'],https://pureportal.coventry.ac.uk/en/publications/assessing-risks-in-dairy-supply-chain-systems-a-system-dynamics-a,"['Azizsafaei, M.', 'Daneshkhah, A.']","['https://pureportal.coventry.ac.uk/en/persons/maryam-azizsafaei', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']","Due to the dynamic nature of the food supply chain system, food supply management could suffer because of, and be interrupted by, unforeseen events. Considering the perishable nature of fresh food products and their short life cycle, fresh food companies feel immense pressure to adopt an efficient and proactive risk management system. The risk management aspects within the food supply chains have been addressed in several studies. However, only a few studies focus on the complex interactions between the various types of risks impacting food supply chain functionality and dynamic feedback effects, which can generate a reliable risk management system. This paper strives to contribute to this evident research gap by adopting a system dynamics modelling approach to generate a systemic risk management model. The system dynamics model serves as the basis for the simulation of risk index values and can be explored in future work to further analyse the dynamic risk’s effect on the food supply chain system’s behaviour. According to a literature review of published research from 2017 to 2021, nine different risks across the food supply chain were identified as a subsection of the major risk categories: macro-level and operational risks. Following this stage, two of the risk groups identified first were integrated with a developed system dynamics model to conduct this research and to evaluate the interaction between the risks and the functionality of the three main dairy supply chain processes: production, logistics, and retailing. The key findings drawn from this paper can be beneficial for enhancing managerial discernment regarding the critical role of system dynamics models for analysing various types of risks across the food supply chain process and improving its efficiency."
24,24,Bispectrum-based Cross-frequency Functional Connectivity: Classification of Alzheimer's disease,['8 Sep 2022'],https://pureportal.coventry.ac.uk/en/publications/bispectrum-based-cross-frequency-functional-connectivity-classifi,"['Klepl, D.', 'He, F.']","['https://pureportal.coventry.ac.uk/en/persons/dominik-klepl', 'https://pureportal.coventry.ac.uk/en/persons/fei-he']","Alzheimer’s disease (AD) is a neurodegenerative disease known to affect brain functional connectivity (FC). Linear FC measures have been applied to study the differences in AD by splitting neurophysiological signals such as electroencephalography (EEG) recordings into discrete frequencypbands and analysing them in isolation. We address this limitation by quantifying cross-frequency FC in addition to the traditional within-band approach. Cross-bispectrum, a higher-order spectral analysis, is used to measure the nonlinear FC and is compared with the cross-spectrum, which only measures the linear FC within bands. Each frequency coupling is then used to construct an FC network, which is in turn vectorised and used to train a classifier. We show that fusing features from networks improves classification accuracy. Although both within-frequency and cross-frequency networks can be used to predict AD with high accuracy, our results show that bispectrum-based FC outperforms cross-spectrum suggesting an important role of cross-frequency FC."
